French Word/Phrase,English Word/Phrase
filial, branch
fonds, stock
sembler, appear
alors que, even though
mensonge, lie
abonner, to subscribe
profiter, take advantage of
accaparement, monopolizing
rendre, give back
ainsi, in this way
entretenir, keep
courriel, email
facon, style or fashion
dont, whose
fair suite a , follow on from
precedent, previous
attirer, attract
aux depens de, at the expense of
ajouter, add
loyer, rent
chomage, unemployment
bois, wood
entrainer, pull something horizontally
temoignage, testimony
ailleurs, elsewhere
haut fonctionnaire, high government official
gestion, administration
frisant, verging on
pepiniere, nursery
deperir, perish
defrichage, clearing
maniement, manipulation
